Year,Month,Loan Rate
2000,1,13.48
2000,1,13.3
2000,4,13.0
2000,5,13.0
2000,5,13.04
2000,5,13.25
2000,5,13.75
2000,5,14.0
2000,6,15.0
2000,7,15.0
2000,8,15.0
2000,9,15.5
2000,9,16.0
2000,11,18.0
2000,11,20.0
2001,1,23.0
2001,2,22.0
2001,4,21.5
2001,7,19.5
2001,8,18.5
2001,9,15.0
2001,10,14.0
2001,10,14.0
2002,3,13.5
2002,3,13.6
2002,3,13.65
2002,4,13.85
2002,6,13.75
2002,7,12.75
2002,11,11.75
2003,1,11.0
2003,5,10.25
2003,8,9.5
2003,10,8.5
2004,11,9.0
2005,5,9.25
2005,6,9.75
2005,9,10.0
2005,12,10.25
2006,6,10.5
2006,7,10.625
2006,9,11.125
2006,12,11.5
2007,2,12.0
2007,12,12.0
2008,10,12.0
2008,11,12.0
2009,1,12.0
2009,2,11.75
2009,2,11.75
2009,3,11.75
2009,4,11.75
2009,5,11.5
2009,6,11.0
2009,9,10.5
2009,11,9.75
2010,7,9.5
2010,8,9.0
2011,1,8.5
2011,4,8.5
2012,2,9.0
2012,4,9.75
2012,12,9.5
2013,5,9.0
2013,7,9.0
2013,10,8.5
2014,1,8.0
2015,4,7.5
2016,1,7.5
2016,2,8.0
2016,7,8.5
2017,3,8.75
2018,4,8.5
2018,11,9.0
2018,11,9.0
2019,3,9.0
2019,5,8.5
2019,8,8.0
2020,1,7.5
2020,3,7.5
2020,3,7.25
2020,4,7.0
2020,5,6.5
2020,6,6.5
2020,7,5.5
2021,8,6.0
2021,9,6.0
2022,1,6.5
2022,3,7.5
2022,4,14.5
2022,7,15.5
2023,3,16.5
2023,6,14.0
2023,7,12.0
2023,8,12.0
